index,Adj Close,Open,High,Low,Volume
2016-11-17 00:00:00,9500,9620,9670,9490,84353
2016-11-18 00:00:00,9220,9520,9620,9170,142125
2016-11-21 00:00:00,9400,9200,9470,9140,96753
2016-11-22 00:00:00,9360,9350,9440,9270,40473
2016-11-23 00:00:00,9280,9440,9440,9230,78258
2016-11-24 00:00:00,9200,9220,9470,9150,85849
2016-11-25 00:00:00,9170,9150,9240,9110,42452
2016-11-28 00:00:00,9050,9300,9300,9050,59061
2016-11-29 00:00:00,9040,9040,9170,9000,51637
2016-11-30 00:00:00,8780,9120,9120,8550,98875
2016-12-01 00:00:00,8710,8650,8780,8500,167461
2016-12-02 00:00:00,8650,8600,8760,8600,48957
2016-12-05 00:00:00,8460,8710,8710,8450,85480
2016-12-06 00:00:00,8950,8490,8950,8470,102059
2016-12-07 00:00:00,8940,8890,9270,8800,200037
2016-12-08 00:00:00,9170,8850,9260,8850,148521
2016-12-09 00:00:00,9510,9170,9690,9010,310161
2016-12-12 00:00:00,10100,9600,10350,9600,641225
2016-12-13 00:00:00,10150,10200,10350,9960,530469
2016-12-14 00:00:00,11900,10100,12300,9600,7456000
2016-12-15 00:00:00,12150,11800,12650,11700,2821557
2016-12-16 00:00:00,11850,12050,12300,11650,1756786
2016-12-19 00:00:00,12050,11900,12100,11450,1665862
2016-12-20 00:00:00,11750,12100,12350,11550,943744
2016-12-21 00:00:00,11850,11750,11950,11400,710565
2016-12-22 00:00:00,11650,11850,11900,11500,417229
2016-12-23 00:00:00,11600,11750,12150,11400,1084919
2016-12-26 00:00:00,11500,11700,11750,11350,346480
2016-12-27 00:00:00,11750,11550,11950,11400,746482
2016-12-28 00:00:00,12100,11650,12150,11550,753870
2016-12-29 00:00:00,11700,11950,12050,11700,372582
2017-01-02 00:00:00,11850,11700,11900,11250,472100
2017-01-03 00:00:00,11500,11800,12300,11450,944858
2017-01-04 00:00:00,12000,11600,12000,11350,537054
2017-01-05 00:00:00,12650,12050,12800,11750,2024419
2017-01-06 00:00:00,12400,12700,12800,12400,523117
2017-01-09 00:00:00,12450,12450,12850,12200,808561
2017-01-10 00:00:00,12450,12350,12600,12200,324974
2017-01-11 00:00:00,12350,12300,12650,12250,455392
2017-01-12 00:00:00,12250,12350,12400,12000,382745
2017-01-13 00:00:00,12350,12250,12500,12100,210254
2017-01-16 00:00:00,12000,12300,12350,11800,346195
2017-01-17 00:00:00,11900,12150,12250,11850,349036
2017-01-18 00:00:00,12200,11900,12250,11700,385690
2017-01-19 00:00:00,12200,12250,12350,12000,295692
2017-01-20 00:00:00,11950,12100,12200,11900,211440
2017-01-23 00:00:00,11950,11950,12350,11900,256703
2017-01-24 00:00:00,11500,11900,11900,11300,460899
2017-01-25 00:00:00,11550,11450,11800,11400,303171
2017-01-26 00:00:00,12300,11550,12650,11550,891567
2017-01-31 00:00:00,12100,12200,12350,11850,277410
2017-02-01 00:00:00,12850,12100,13000,12050,880903
2017-02-02 00:00:00,12600,12750,13300,12400,777113
2017-02-03 00:00:00,12700,12650,12950,12350,385835
2017-02-06 00:00:00,12700,12700,13050,12550,338256
2017-02-07 00:00:00,13400,12700,13650,12700,1236134
2017-02-08 00:00:00,13450,13450,13600,13150,439132
2017-02-09 00:00:00,13050,13350,13350,12900,434900
2017-02-10 00:00:00,13400,13050,13400,12800,337995
2017-02-13 00:00:00,13750,13250,13850,13200,437610
2017-02-14 00:00:00,13950,13750,14250,13650,529789
2017-02-15 00:00:00,14100,13800,14100,13750,358964
2017-02-16 00:00:00,13950,14100,14700,13800,747945
2017-02-17 00:00:00,13950,13800,14250,13700,205152
2017-02-20 00:00:00,13800,13800,14200,13700,200424
2017-02-21 00:00:00,14000,13850,14350,13800,236455
2017-02-22 00:00:00,13850,14000,14050,13700,201747
2017-02-23 00:00:00,13700,13850,13900,13300,499975
2017-02-24 00:00:00,13650,13500,13900,13400,213726
2017-02-27 00:00:00,14250,13600,14300,13600,354863
2017-02-28 00:00:00,14100,14300,14300,13850,194570
2017-03-02 00:00:00,14100,14050,14250,13900,152334
2017-03-03 00:00:00,13850,14000,14050,13400,278671
2017-03-06 00:00:00,13650,13800,13800,13300,235256
2017-03-07 00:00:00,13700,13600,13850,13500,136830
2017-03-08 00:00:00,13500,13700,13800,13350,195526
2017-03-09 00:00:00,13500,13500,13600,13300,206684
2017-03-10 00:00:00,13800,13350,13800,13200,232866
2017-03-13 00:00:00,14050,13800,14300,13750,439629
2017-03-14 00:00:00,14550,14050,14700,13950,746464
2017-03-15 00:00:00,14550,14550,14750,14300,386062
2017-03-16 00:00:00,15000,14650,15050,14450,650393
2017-03-17 00:00:00,14400,15000,15000,14400,377212
2017-03-20 00:00:00,14650,14350,14800,14150,304165
2017-03-21 00:00:00,14700,14650,14850,14500,172549
2017-03-22 00:00:00,14650,14550,14750,14450,111969
2017-03-23 00:00:00,14200,14550,14650,14200,173731
2017-03-24 00:00:00,14250,14200,14550,14000,177538
2017-03-27 00:00:00,14400,14150,14500,14150,85945
2017-03-28 00:00:00,14450,14300,14500,14250,76484
2017-03-29 00:00:00,14450,14450,14650,14250,103640
2017-03-30 00:00:00,14200,14450,14450,14100,134385
2017-03-31 00:00:00,14100,14200,14350,13850,227661
2017-04-03 00:00:00,14900,14000,15000,14000,501722
2017-04-04 00:00:00,15300,14800,15350,14600,340788
2017-04-05 00:00:00,15250,15350,15650,15100,307793
2017-04-06 00:00:00,15050,15250,15250,14950,123891
2017-04-07 00:00:00,14900,15000,15000,14750,187750
2017-04-10 00:00:00,14350,15000,15150,14150,316166
2017-04-11 00:00:00,14750,14250,14750,14250,226058
2017-04-12 00:00:00,14450,14700,14750,14400,142556
2017-04-13 00:00:00,14500,14400,14600,14350,91828
2017-04-14 00:00:00,14500,14450,14700,14350,106173
2017-04-17 00:00:00,14900,14500,14900,14400,110485
2017-04-18 00:00:00,15000,15050,15050,14650,171986
2017-04-19 00:00:00,14700,15000,15000,14550,157708
2017-04-20 00:00:00,14800,14700,14900,14450,116028
2017-04-21 00:00:00,14700,14850,14850,14550,100131
2017-04-24 00:00:00,14600,14600,14800,14400,110192
2017-04-25 00:00:00,14550,14650,14650,14350,105016
2017-04-26 00:00:00,14300,14450,14600,14250,239537
2017-04-27 00:00:00,14100,14400,14400,13700,282360
2017-04-28 00:00:00,14100,14050,14450,13900,133478
2017-05-02 00:00:00,13500,13900,14200,13250,363994
2017-05-04 00:00:00,13650,13500,13850,13450,137127
2017-05-08 00:00:00,14600,13750,14700,13750,513220
2017-05-10 00:00:00,14700,14750,14900,14350,224188
2017-05-11 00:00:00,14500,14550,14750,14400,150433
2017-05-12 00:00:00,14650,14500,14700,14350,139836
2017-05-15 00:00:00,14700,14800,14800,14300,179812
2017-05-16 00:00:00,14150,14700,14700,14000,313457
